"County 
FIPS 
code [1]",Size of adjusted gross income by county,
,,Amount
189,"$200,000 or more",170470
,,
191,Hall County,"64,075"
191,Under $1,-2714
191,"$1 under $10,000",1018
191,"$10,000 under $25,000",5089
191,"$25,000 under $50,000",11677
191,"$50,000 under $75,000",9997
191,"$75,000 under $100,000",9266
191,"$100,000 under $200,000",12643
191,"$200,000 or more",17099
,,
193,Hamilton County,"406,167"
193,Under $1,-16773
193,"$1 under $10,000",2333
193,"$10,000 under $25,000",11475
193,"$25,000 under $50,000",34972
193,"$50,000 under $75,000",35287
193,"$75,000 under $100,000",33609
193,"$100,000 under $200,000",76519
193,"$200,000 or more",228745
,,
195,Hansford County,"172,160"
195,Under $1,-5099
195,"$1 under $10,000",1221
195,"$10,000 under $25,000",5873
195,"$25,000 under $50,000",21449
195,"$50,000 under $75,000",23165
195,"$75,000 under $100,000",19986
195,"$100,000 under $200,000",43924
195,"$200,000 or more",61641
,,
197,Hardeman County,"80,007"
197,Under $1,-3428
197,"$1 under $10,000",939
197,"$10,000 under $25,000",5769
197,"$25,000 under $50,000",13955
197,"$50,000 under $75,000",15124
197,"$75,000 under $100,000",11556
197,"$100,000 under $200,000",26287
197,"$200,000 or more",9805
,,
199,Hardin County,"2,067,747"
199,Under $1,-18334
199,"$1 under $10,000",12915
199,"$10,000 under $25,000",78417
199,"$25,000 under $50,000",187789
199,"$50,000 under $75,000",216587
199,"$75,000 under $100,000",239923
199,"$100,000 under $200,000",742017
199,"$200,000 or more",608433
,,
201,Harris County,"206,154,638"
201,Under $1,-2646250
201,"$1 under $10,000",1182995
201,"$10,000 under $25,000",8184407
201,"$25,000 under $50,000",18758295
201,"$50,000 under $75,000",18839866
201,"$75,000 under $100,000",14886344
201,"$100,000 under $200,000",37894628
201,"$200,000 or more",109054353
,,
203,Harrison County,"2,156,406"
203,Under $1,-35057
203,"$1 under $10,000",17841
203,"$10,000 under $25,000",113794
203,"$25,000 under $50,000",265040
203,"$50,000 under $75,000",251145
203,"$75,000 under $100,000",224864
203,"$100,000 under $200,000",589793
203,"$200,000 or more",728986
,,
205,Hartley County,"191,363"
205,Under $1,-19133
205,"$1 under $10,000",1123
205,"$10,000 under $25,000",4628
205,"$25,000 under $50,000",21528
205,"$50,000 under $75,000",20532
205,"$75,000 under $100,000",14899
205,"$100,000 under $200,000",46722
205,"$200,000 or more",101064
,,
207,Haskell County,"124,955"
207,Under $1,-3522
207,"$1 under $10,000",1409
207,"$10,000 under $25,000",6629
207,"$25,000 under $50,000",17790
207,"$50,000 under $75,000",20644
207,"$75,000 under $100,000",16234
207,"$100,000 under $200,000",37450
207,"$200,000 or more",28321
,,
209,Hays County,"12,266,365"
209,Under $1,-146583
209,"$1 under $10,000",58718
209,"$10,000 under $25,000",327110
209,"$25,000 under $50,000",1003444
209,"$50,000 under $75,000",1107449
209,"$75,000 under $100,000",1005711
209,"$100,000 under $200,000",3111147
209,"$200,000 or more",5799369
,,
211,Hemphill County,"135,437"
211,Under $1,-5360
211,"$1 under $10,000",802
211,"$10,000 under $25,000",4158
211,"$25,000 under $50,000",10010
211,"$50,000 under $75,000",13171
211,"$75,000 under $100,000",14301
211,"$100,000 under $200,000",40996
211,"$200,000 or more",57359
,,
213,Henderson County,"2,509,122"
213,Under $1,-41428
213,"$1 under $10,000",21904
213,"$10,000 under $25,000",136647
213,"$25,000 under $50,000",350781
213,"$50,000 under $75,000",316547
213,"$75,000 under $100,000",277394
213,"$100,000 under $200,000",664807
213,"$200,000 or more",782470
,,
215,Hidalgo County,"17,487,717"
215,Under $1,-201640
215,"$1 under $10,000",232326
215,"$10,000 under $25,000",2062681
215,"$25,000 under $50,000",3458724
215,"$50,000 under $75,000",2806472
215,"$75,000 under $100,000",1889209
215,"$100,000 under $200,000",3571072
215,"$200,000 or more",3668873
,,
217,Hill County,"1,111,966"
217,Under $1,-23939
217,"$1 under $10,000",9957
217,"$10,000 under $25,000",59405
217,"$25,000 under $50,000",157080
217,"$50,000 under $75,000",163079
217,"$75,000 under $100,000",139232
217,"$100,000 under $200,000",316781
217,"$200,000 or more",290371
,,
219,Hockley County,"628,385"
219,Under $1,-9077
219,"$1 under $10,000",5589
219,"$10,000 under $25,000",32123
219,"$25,000 under $50,000",83788
219,"$50,000 under $75,000",79478
219,"$75,000 under $100,000",79664
219,"$100,000 under $200,000",182999
219,"$200,000 or more",173821
,,
221,Hood County,"2,933,452"
221,Under $1,-32737
221,"$1 under $10,000",15928
221,"$10,000 under $25,000",86758
221,"$25,000 under $50,000",235174
221,"$50,000 under $75,000",272564
221,"$75,000 under $100,000",294084
221,"$100,000 under $200,000",857026
221,"$200,000 or more",1204655
,,
223,Hopkins County,"1,182,727"
223,Under $1,-24205
223,"$1 under $10,000",9607
223,"$10,000 under $25,000",58089
223,"$25,000 under $50,000",159474
223,"$50,000 under $75,000",158571
223,"$75,000 under $100,000",130497
223,"$100,000 under $200,000",291118
223,"$200,000 or more",399576
,,
225,Houston County,"480,840"
225,Under $1,-15335
225,"$1 under $10,000",5684
225,"$10,000 under $25,000",34232
225,"$25,000 under $50,000",74880
225,"$50,000 under $75,000",73048
225,"$75,000 under $100,000",61891
225,"$100,000 under $200,000",135455
225,"$200,000 or more",110985
,,
227,Howard County,"1,239,369"
227,Under $1,-5792
227,"$1 under $10,000",6572
227,"$10,000 under $25,000",39521
227,"$25,000 under $50,000",111594
227,"$50,000 under $75,000",110952
227,"$75,000 under $100,000",105461
227,"$100,000 under $200,000",267631
227,"$200,000 or more",603430
,,
229,Hudspeth County,"55,946"
229,Under $1,-4751
229,"$1 under $10,000",881
229,"$10,000 under $25,000",6490
229,"$25,000 under $50,000",14960
229,"$50,000 under $75,000",11703
229,"$75,000 under $100,000",7280
229,"$100,000 under $200,000",12386
229,"$200,000 or more",6997
,,
231,Hunt County,"3,302,939"
231,Under $1,-35160
231,"$1 under $10,000",25483
231,"$10,000 under $25,000",157847
231,"$25,000 under $50,000",436225
231,"$50,000 under $75,000",451016
231,"$75,000 under $100,000",423879
231,"$100,000 under $200,000",1019019
231,"$200,000 or more",824630
,,
233,Hutchinson County,"624,566"
233,Under $1,-4104
233,"$1 under $10,000",5389
233,"$10,000 under $25,000",25759
233,"$25,000 under $50,000",66053
233,"$50,000 under $75,000",83810
233,"$75,000 under $100,000",80431
233,"$100,000 under $200,000",210877
233,"$200,000 or more",156351
,,
235,Irion County,"77,820"
235,Under $1,**
235,"$1 under $10,000",-14
235,"$10,000 under $25,000",1448
235,"$25,000 under $50,000",4959
235,"$50,000 under $75,000",5866
235,"$75,000 under $100,000",6713
235,"$100,000 under $200,000",23791
235,"$200,000 or more",35057
,,
237,Jack County,"257,108"
237,Under $1,-14249
237,"$1 under $10,000",1790
237,"$10,000 under $25,000",10987
237,"$25,000 under $50,000",30611
237,"$50,000 under $75,000",34743
237,"$75,000 under $100,000",32940
237,"$100,000 under $200,000",72677
237,"$200,000 or more",87609
,,
239,Jackson County,"479,490"
239,Under $1,-5688
239,"$1 under $10,000",3715
239,"$10,000 under $25,000",23302
239,"$25,000 under $50,000",57002
239,"$50,000 under $75,000",62812
239,"$75,000 under $100,000",61365
239,"$100,000 under $200,000",146044
239,"$200,000 or more",130938
,,
241,Jasper County,"946,516"
241,Under $1,-7907
241,"$1 under $10,000",8481
241,"$10,000 under $25,000",56803
241,"$25,000 under $50,000",120524
241,"$50,000 under $75,000",123490
241,"$75,000 under $100,000",116255
241,"$100,000 under $200,000",308038
241,"$200,000 or more",220832
,,
243,Jeff Davis County,"82,870"
243,Under $1,**
243,"$1 under $10,000",249
243,"$10,000 under $25,000",2810
243,"$25,000 under $50,000",7575
243,"$50,000 under $75,000",7307
243,"$75,000 under $100,000",8091
243,"$100,000 under $200,000",20564
243,"$200,000 or more",36274
,,
245,Jefferson County,"7,527,418"
245,Under $1,-56044
245,"$1 under $10,000",60222
245,"$10,000 under $25,000",433672
245,"$25,000 under $50,000",900444
245,"$50,000 under $75,000",888277
245,"$75,000 under $100,000",765273
245,"$100,000 under $200,000",1952639
245,"$200,000 or more",2582935
,,
247,Jim Hogg County,"96,795"
247,Under $1,-517
247,"$1 under $10,000",1334
247,"$10,000 under $25,000",10040
247,"$25,000 under $50,000",19338
247,"$50,000 under $75,000",16933
247,"$75,000 under $100,000",10855
247,"$100,000 under $200,000",28179
247,"$200,000 or more",10633
,,
249,Jim Wells County,"898,889"
249,Under $1,-21134
249,"$1 under $10,000",11094
249,"$10,000 under $25,000",80806
249,"$25,000 under $50,000",148775
249,"$50,000 under $75,000",135301
249,"$75,000 under $100,000",117021
249,"$100,000 under $200,000",248294
249,"$200,000 or more",178732
,,
251,Johnson County,"6,933,799"
251,Under $1,-62148
251,"$1 under $10,000",44985
251,"$10,000 under $25,000",265782
251,"$25,000 under $50,000",770515
251,"$50,000 under $75,000",878274
251,"$75,000 under $100,000",803952
251,"$100,000 under $200,000",2237610
251,"$200,000 or more",1994829
,,
253,Jones County,"419,598"
253,Under $1,-13879
253,"$1 under $10,000",3837
253,"$10,000 under $25,000",21319
253,"$25,000 under $50,000",61357
253,"$50,000 under $75,000",61097
253,"$75,000 under $100,000",59136
253,"$100,000 under $200,000",127514
253,"$200,000 or more",99217
,,
255,Karnes County,"790,700"
255,Under $1,-4921
255,"$1 under $10,000",3291
255,"$10,000 under $25,000",17240
255,"$25,000 under $50,000",47838
255,"$50,000 under $75,000",48178
255,"$75,000 under $100,000",45584
255,"$100,000 under $200,000",94270
255,"$200,000 or more",539220
,,
257,Kaufman County,"5,881,716"
257,Under $1,-32328
257,"$1 under $10,000",37326
257,"$10,000 under $25,000",252442
257,"$25,000 under $50,000",686921
257,"$50,000 under $75,000",809031
257,"$75,000 under $100,000",753664
257,"$100,000 under $200,000",2027083
257,"$200,000 or more",1347577
,,
259,Kendall County,"3,914,553"
259,Under $1,-134679
259,"$1 under $10,000",11306
259,"$10,000 under $25,000",52179
259,"$25,000 under $50,000",151295
259,"$50,000 under $75,000",168444
259,"$75,000 under $100,000",188816
259,"$100,000 under $200,000",722351
259,"$200,000 or more",2754841
,,
261,Kenedy County,"5,640"
261,Under $1,**
261,"$1 under $10,000",**
261,"$10,000 under $25,000",737
261,"$25,000 under $50,000",1554
261,"$50,000 under $75,000",3349
261,"$75,000 under $100,000",**
261,"$100,000 under $200,000",**
261,"$200,000 or more",**
,,
263,Kent County,"22,458"
263,Under $1,**
263,"$1 under $10,000",-266
263,"$10,000 under $25,000",871
263,"$25,000 under $50,000",2865
263,"$50,000 under $75,000",2416
263,"$75,000 under $100,000",3075
263,"$100,000 under $200,000",7728
263,"$200,000 or more",5769
,,
265,Kerr County,"2,331,712"
265,Under $1,-32475
265,"$1 under $10,000",15195
265,"$10,000 under $25,000",79190
265,"$25,000 under $50,000",242272
265,"$50,000 under $75,000",223543
265,"$75,000 under $100,000",212630
265,"$100,000 under $200,000",538490
265,"$200,000 or more",1052867
,,
267,Kimble County,"143,530"
267,Under $1,-2227
267,"$1 under $10,000",1630
267,"$10,000 under $25,000",8343
267,"$25,000 under $50,000",16857
267,"$50,000 under $75,000",16821
267,"$75,000 under $100,000",14881
267,"$100,000 under $200,000",36262
267,"$200,000 or more",50963
,,
269,King County,"5,561"
269,Under $1,8
269,"$1 under $10,000",**
269,"$10,000 under $25,000",**
269,"$25,000 under $50,000",874
269,"$50,000 under $75,000",1773
269,"$75,000 under $100,000",2906
269,"$100,000 under $200,000",**
269,"$200,000 or more",**
,,
271,Kinney County,"77,151"
271,Under $1,**
271,"$1 under $10,000",428
271,"$10,000 under $25,000",4166
271,"$25,000 under $50,000",12456
271,"$50,000 under $75,000",10803
271,"$75,000 under $100,000",11314
271,"$100,000 under $200,000",23614
271,"$200,000 or more",14370
,,
273,Kleberg County,"732,500"
273,Under $1,-6313
273,"$1 under $10,000",8059
273,"$10,000 under $25,000",51583
273,"$25,000 under $50,000",118303
273,"$50,000 under $75,000",115795
273,"$75,000 under $100,000",89606
273,"$100,000 under $200,000",220228
273,"$200,000 or more",135239
,,
275,Knox County,"79,376"
275,Under $1,-3028
275,"$1 under $10,000",924
275,"$10,000 under $25,000",5093
275,"$25,000 under $50,000",12665
275,"$50,000 under $75,000",13180
275,"$75,000 under $100,000",10230
275,"$100,000 under $200,000",22190
275,"$200,000 or more",18122
,,
277,Lamar County,"1,398,120"
277,Under $1,-36093
277,"$1 under $10,000",12269
277,"$10,000 under $25,000",82140
277,"$25,000 under $50,000",204644
277,"$50,000 under $75,000",190042
277,"$75,000 under $100,000",165854
277,"$100,000 under $200,000",355370
277,"$200,000 or more",423894
,,
279,Lamb County,"281,020"
279,Under $1,-12625
279,"$1 under $10,000",3134
279,"$10,000 under $25,000",18281
279,"$25,000 under $50,000",52344
279,"$50,000 under $75,000",46922
279,"$75,000 under $100,000",40090
279,"$100,000 under $200,000",75438
279,"$200,000 or more",57436
,,
281,Lampasas County,"829,592"
281,Under $1,-8715
281,"$1 under $10,000",5524
281,"$10,000 under $25,000",30093
281,"$25,000 under $50,000",92449
281,"$50,000 under $75,000",104447
281,"$75,000 under $100,000",106002
281,"$100,000 under $200,000",234084
281,"$200,000 or more",265708
,,
283,La Salle County,"202,102"
283,Under $1,-1424
283,"$1 under $10,000",1664
283,"$10,000 under $25,000",11266
283,"$25,000 under $50,000",22215
283,"$50,000 under $75,000",20613
283,"$75,000 under $100,000",13340
283,"$100,000 under $200,000",31761
283,"$200,000 or more",102667
,,
285,Lavaca County,"821,304"
285,Under $1,-21076
285,"$1 under $10,000",5718
285,"$10,000 under $25,000",26672
285,"$25,000 under $50,000",80327
285,"$50,000 under $75,000",83144
285,"$75,000 under $100,000",86311
285,"$100,000 under $200,000",235815
285,"$200,000 or more",324393
,,
287,Lee County,"608,853"
287,Under $1,-10196
287,"$1 under $10,000",4426
287,"$10,000 under $25,000",26267
287,"$25,000 under $50,000",76660
287,"$50,000 under $75,000",82101
287,"$75,000 under $100,000",72888
287,"$100,000 under $200,000",185572
287,"$200,000 or more",171135
,,
289,Leon County,"543,640"
289,Under $1,-25686
289,"$1 under $10,000",4443
289,"$10,000 under $25,000",26538
289,"$25,000 under $50,000",65758
289,"$50,000 under $75,000",70091
289,"$75,000 under $100,000",61138
289,"$100,000 under $200,000",170405
289,"$200,000 or more",170953
,,
291,Liberty County,"2,697,850"
291,Under $1,-20149
291,"$1 under $10,000",26055
291,"$10,000 under $25,000",181620
291,"$25,000 under $50,000",394334
291,"$50,000 under $75,000",398016
291,"$75,000 under $100,000",326731
291,"$100,000 under $200,000",756684
291,"$200,000 or more",634559
,,
293,Limestone County,"548,408"
293,Under $1,-9565
293,"$1 under $10,000",5116
293,"$10,000 under $25,000",35268
293,"$25,000 under $50,000",96612
293,"$50,000 under $75,000",86730
293,"$75,000 under $100,000",66744
293,"$100,000 under $200,000",154605
293,"$200,000 or more",112898
,,
295,Lipscomb County,"92,114"
295,Under $1,-5781
295,"$1 under $10,000",740
295,"$10,000 under $25,000",3065
295,"$25,000 under $50,000",10558
295,"$50,000 under $75,000",12917
295,"$75,000 under $100,000",12142
295,"$100,000 under $200,000",27357
295,"$200,000 or more",31116
,,
297,Live Oak County,"418,846"
297,Under $1,-4956
297,"$1 under $10,000",2837
297,"$10,000 under $25,000",16092
297,"$25,000 under $50,000",39178
297,"$50,000 under $75,000",41322
297,"$75,000 under $100,000",36399
297,"$100,000 under $200,000",104948
297,"$200,000 or more",183026
,,
299,Llano County,"1,271,946"
299,Under $1,-20845
299,"$1 under $10,000",6117
299,"$10,000 under $25,000",31593
299,"$25,000 under $50,000",83499
299,"$50,000 under $75,000",88618
299,"$75,000 under $100,000",84110
299,"$100,000 under $200,000",223930
299,"$200,000 or more",774924
,,
301,Loving County,"3,218"
301,Under $1,0
301,"$1 under $10,000",0
301,"$10,000 under $25,000",**
301,"$25,000 under $50,000",**
301,"$50,000 under $75,000",**
301,"$75,000 under $100,000",3218
301,"$100,000 under $200,000",**
301,"$200,000 or more",**
,,
303,Lubbock County,"10,714,023"
303,Under $1,-117261
303,"$1 under $10,000",81471
303,"$10,000 under $25,000",485363
303,"$25,000 under $50,000",1268452
303,"$50,000 under $75,000",1165523
303,"$75,000 under $100,000",1014695
303,"$100,000 under $200,000",2668380
303,"$200,000 or more",4147400
,,
305,Lynn County,"224,200"
305,Under $1,-3938
305,"$1 under $10,000",1350
305,"$10,000 under $25,000",6986
305,"$25,000 under $50,000",21471
305,"$50,000 under $75,000",20639
305,"$75,000 under $100,000",19448
305,"$100,000 under $200,000",63664
305,"$200,000 or more",94580
,,
307,McCulloch County,"226,732"
307,Under $1,-4424
307,"$1 under $10,000",2362
307,"$10,000 under $25,000",12558
307,"$25,000 under $50,000",30353
307,"$50,000 under $75,000",30219
307,"$75,000 under $100,000",25568
307,"$100,000 under $200,000",51868
307,"$200,000 or more",78228
,,
309,McLennan County,"8,404,125"
309,Under $1,-59707
309,"$1 under $10,000",65060
309,"$10,000 under $25,000",391981
309,"$25,000 under $50,000",1142218
309,"$50,000 under $75,000",1014117
309,"$75,000 under $100,000",858606
309,"$100,000 under $200,000",2155642
309,"$200,000 or more",2836208
,,
311,McMullen County,"61,683"
311,Under $1,**
311,"$1 under $10,000",-36
311,"$10,000 under $25,000",1076
311,"$25,000 under $50,000",3186
311,"$50,000 under $75,000",3111
311,"$75,000 under $100,000",3826
311,"$100,000 under $200,000",8746
311,"$200,000 or more",41774
,,
313,Madison County,"350,555"
313,Under $1,-7498
313,"$1 under $10,000",3346
313,"$10,000 under $25,000",21235
313,"$25,000 under $50,000",53452
313,"$50,000 under $75,000",45148
313,"$75,000 under $100,000",38319
313,"$100,000 under $200,000",89019
313,"$200,000 or more",107534
,,
315,Marion County,"245,006"
315,Under $1,-2837
315,"$1 under $10,000",2737
315,"$10,000 under $25,000",17131
315,"$25,000 under $50,000",36091
315,"$50,000 under $75,000",36773
315,"$75,000 under $100,000",31048
315,"$100,000 under $200,000",62176
315,"$200,000 or more",61887
,,
317,Martin County,"448,128"
317,Under $1,-3217
317,"$1 under $10,000",1016
317,"$10,000 under $25,000",5315
317,"$25,000 under $50,000",16233
317,"$50,000 under $75,000",21791
317,"$75,000 under $100,000",17483
317,"$100,000 under $200,000",55933
317,"$200,000 or more",333574
,,
319,Mason County,"185,383"
319,Under $1,-7488
319,"$1 under $10,000",1392
319,"$10,000 under $25,000",6268
319,"$25,000 under $50,000",15116
319,"$50,000 under $75,000",17422
319,"$75,000 under $100,000",17580
319,"$100,000 under $200,000",38484
319,"$200,000 or more",96609
,,
321,Matagorda County,"1,058,289"
321,Under $1,-12843
321,"$1 under $10,000",10075
321,"$10,000 under $25,000",62012
321,"$25,000 under $50,000",134882
321,"$50,000 under $75,000",133824
321,"$75,000 under $100,000",116624
321,"$100,000 under $200,000",353046
321,"$200,000 or more",260669
,,
323,Maverick County,"1,221,196"
323,Under $1,-3129
323,"$1 under $10,000",17842
323,"$10,000 under $25,000",139676
323,"$25,000 under $50,000",280332
323,"$50,000 under $75,000",235215
323,"$75,000 under $100,000",164978
323,"$100,000 under $200,000",262953
323,"$200,000 or more",123329
,,
325,Medina County,"1,738,662"
325,Under $1,-17289
325,"$1 under $10,000",12479
325,"$10,000 under $25,000",73021
325,"$25,000 under $50,000",201801
325,"$50,000 under $75,000",208747
325,"$75,000 under $100,000",198190
325,"$100,000 under $200,000",545094
325,"$200,000 or more",516619
,,
327,Menard County,"43,869"
327,Under $1,-3102
327,"$1 under $10,000",707
327,"$10,000 under $25,000",3658
327,"$25,000 under $50,000",7724
327,"$50,000 under $75,000",6310
327,"$75,000 under $100,000",7275
327,"$100,000 under $200,000",12305
327,"$200,000 or more",8992
,,
329,Midland County,"14,954,486"
329,Under $1,-103896
329,"$1 under $10,000",36387
329,"$10,000 under $25,000",219501
329,"$25,000 under $50,000",603887
329,"$50,000 under $75,000",722445
329,"$75,000 under $100,000",716105
329,"$100,000 under $200,000",2198231
329,"$200,000 or more",10561826
,,
331,Milam County,"772,903"
331,Under $1,-15555
331,"$1 under $10,000",6935
331,"$10,000 under $25,000",39822
331,"$25,000 under $50,000",107219
331,"$50,000 under $75,000",103431
331,"$75,000 under $100,000",89327
331,"$100,000 under $200,000",213131
331,"$200,000 or more",228593
,,
333,Mills County,"153,101"
333,Under $1,-4803
333,"$1 under $10,000",1345
333,"$10,000 under $25,000",6896
333,"$25,000 under $50,000",18965
333,"$50,000 under $75,000",18170
333,"$75,000 under $100,000",16509
333,"$100,000 under $200,000",42602
333,"$200,000 or more",53417
,,
335,Mitchell County,"202,140"
335,Under $1,-1720
335,"$1 under $10,000",1676
335,"$10,000 under $25,000",9253
335,"$25,000 under $50,000",23704
335,"$50,000 under $75,000",24173
335,"$75,000 under $100,000",25235
335,"$100,000 under $200,000",61397
335,"$200,000 or more",58422
,,
337,Montague County,"715,419"
337,Under $1,-15281
337,"$1 under $10,000",5509
337,"$10,000 under $25,000",28647
337,"$25,000 under $50,000",78578
337,"$50,000 under $75,000",89128
337,"$75,000 under $100,000",89545
337,"$100,000 under $200,000",200645
337,"$200,000 or more",238648
,,
339,Montgomery County,"36,671,141"
339,Under $1,-482035
339,"$1 under $10,000",155031
339,"$10,000 under $25,000",883544
339,"$25,000 under $50,000",2240520
339,"$50,000 under $75,000",2587905
339,"$75,000 under $100,000",2499317
339,"$100,000 under $200,000",8331535
339,"$200,000 or more",20455324
,,
341,Moore County,"560,759"
341,Under $1,-39874
341,"$1 under $10,000",4468
341,"$10,000 under $25,000",28592
341,"$25,000 under $50,000",102265
341,"$50,000 under $75,000",120337
341,"$75,000 under $100,000",81413
341,"$100,000 under $200,000",162940
341,"$200,000 or more",100618
,,
343,Morris County,"284,715"
343,Under $1,-5425
343,"$1 under $10,000",3382
343,"$10,000 under $25,000",23427
343,"$25,000 under $50,000",55126
343,"$50,000 under $75,000",47081
343,"$75,000 under $100,000",38757
343,"$100,000 under $200,000",70449
343,"$200,000 or more",51918
,,
345,Motley County,"25,138"
345,Under $1,-1173
345,"$1 under $10,000",399
345,"$10,000 under $25,000",1613
345,"$25,000 under $50,000",3362
345,"$50,000 under $75,000",5036
345,"$75,000 under $100,000",2879
345,"$100,000 under $200,000",13022
345,"$200,000 or more",**
,,
347,Nacogdoches County,"1,753,531"
347,Under $1,-33851
347,"$1 under $10,000",15934
347,"$10,000 under $25,000",101469
347,"$25,000 under $50,000",245990
347,"$50,000 under $75,000",218416
347,"$75,000 under $100,000",196062
347,"$100,000 under $200,000",438388
347,"$200,000 or more",571123
,,
349,Navarro County,"1,480,293"
349,Under $1,-25983
349,"$1 under $10,000",13192
349,"$10,000 under $25,000",87160
349,"$25,000 under $50,000",231534
349,"$50,000 under $75,000",218461
349,"$75,000 under $100,000",172965
349,"$100,000 under $200,000",348356
349,"$200,000 or more",434608
,,
351,Newton County,"281,908"
351,Under $1,-2004
351,"$1 under $10,000",2760
351,"$10,000 under $25,000",20183
351,"$25,000 under $50,000",42660
351,"$50,000 under $75,000",40068
351,"$75,000 under $100,000",41506
351,"$100,000 under $200,000",97071
351,"$200,000 or more",39664
,,
353,Nolan County,"393,760"
353,Under $1,-8814
353,"$1 under $10,000",3627
353,"$10,000 under $25,000",20913
353,"$25,000 under $50,000",56050
353,"$50,000 under $75,000",55523
353,"$75,000 under $100,000",50301
353,"$100,000 under $200,000",106923
353,"$200,000 or more",109237
,,
355,Nueces County,"10,793,154"
355,Under $1,-120238
355,"$1 under $10,000",91119
355,"$10,000 under $25,000",604238
355,"$25,000 under $50,000",1433255
355,"$50,000 under $75,000",1385351
355,"$75,000 under $100,000",1138631
355,"$100,000 under $200,000",2781033
355,"$200,000 or more",3479765
,,
357,Ochiltree County,"330,627"
357,Under $1,-4632
357,"$1 under $10,000",2426
357,"$10,000 under $25,000",12688
357,"$25,000 under $50,000",37562
357,"$50,000 under $75,000",42243
357,"$75,000 under $100,000",39551
357,"$100,000 under $200,000",77806
357,"$200,000 or more",122983
,,
359,Oldham County,"69,141"
359,Under $1,-1814
359,"$1 under $10,000",350
359,"$10,000 under $25,000",2877
359,"$25,000 under $50,000",8052
359,"$50,000 under $75,000",10361
359,"$75,000 under $100,000",9441
359,"$100,000 under $200,000",21095
359,"$200,000 or more",18779
,,
361,Orange County,"2,596,093"
361,Under $1,-17074
361,"$1 under $10,000",19101
361,"$10,000 under $25,000",121291
361,"$25,000 under $50,000",288295
361,"$50,000 under $75,000",305825
361,"$75,000 under $100,000",308050
361,"$100,000 under $200,000",946014
361,"$200,000 or more",624591
,,
363,Palo Pinto County,"962,973"
363,Under $1,-29348
363,"$1 under $10,000",7722
363,"$10,000 under $25,000",46267
363,"$25,000 under $50,000",125358
363,"$50,000 under $75,000",119012
363,"$75,000 under $100,000",103980
363,"$100,000 under $200,000",228340
363,"$200,000 or more",361642
,,
365,Panola County,"748,177"
365,Under $1,-15736
365,"$1 under $10,000",4962
365,"$10,000 under $25,000",36197
365,"$25,000 under $50,000",85382
365,"$50,000 under $75,000",91832
365,"$75,000 under $100,000",90240
365,"$100,000 under $200,000",218516
365,"$200,000 or more",236784
,,
367,Parker County,"8,504,667"
367,Under $1,-120673
367,"$1 under $10,000",36070
367,"$10,000 under $25,000",189137
367,"$25,000 under $50,000",531229
367,"$50,000 under $75,000",606150
367,"$75,000 under $100,000",669167
367,"$100,000 under $200,000",2399225
367,"$200,000 or more",4194362
,,
369,Parmer County,"245,397"
369,Under $1,-7985
369,"$1 under $10,000",1979
369,"$10,000 under $25,000",12905
369,"$25,000 under $50,000",41056
369,"$50,000 under $75,000",47884
369,"$75,000 under $100,000",36647
369,"$100,000 under $200,000",55642
369,"$200,000 or more",57269
,,
371,Pecos County,"397,644"
371,Under $1,-3963
371,"$1 under $10,000",3340
371,"$10,000 under $25,000",21135
371,"$25,000 under $50,000",55948
371,"$50,000 under $75,000",54853
371,"$75,000 under $100,000",50021
371,"$100,000 under $200,000",123266
371,"$200,000 or more",93044
,,
373,Polk County,"1,969,024"
373,Under $1,-15396
373,"$1 under $10,000",14421
373,"$10,000 under $25,000",88315
373,"$25,000 under $50,000",216937
373,"$50,000 under $75,000",247599
373,"$75,000 under $100,000",238616
373,"$100,000 under $200,000",598257
373,"$200,000 or more",580275
,,
375,Potter County,"3,363,532"
375,Under $1,-48398
375,"$1 under $10,000",31305
375,"$10,000 under $25,000",206694
375,"$25,000 under $50,000",506906
375,"$50,000 under $75,000",425862
375,"$75,000 under $100,000",319331
375,"$100,000 under $200,000",672081
375,"$200,000 or more",1249751
,,
377,Presidio County,"188,672"
377,Under $1,-1494
377,"$1 under $10,000",2672
377,"$10,000 under $25,000",15863
377,"$25,000 under $50,000",34769
377,"$50,000 under $75,000",30334
377,"$75,000 under $100,000",21946
377,"$100,000 under $200,000",36745
377,"$200,000 or more",47837
,,
379,Rains County,"371,301"
379,Under $1,-6776
379,"$1 under $10,000",2972
379,"$10,000 under $25,000",17658
379,"$25,000 under $50,000",44926
379,"$50,000 under $75,000",47280
379,"$75,000 under $100,000",49340
379,"$100,000 under $200,000",109716
379,"$200,000 or more",106185
,,
381,Randall County,"5,864,143"
381,Under $1,-54620
381,"$1 under $10,000",32035
381,"$10,000 under $25,000",188256
381,"$25,000 under $50,000",542696
381,"$50,000 under $75,000",615800
381,"$75,000 under $100,000",633871
381,"$100,000 under $200,000",1793027
381,"$200,000 or more",2113078
,,
383,Reagan County,"126,864"
383,Under $1,-427
383,"$1 under $10,000",657
383,"$10,000 under $25,000",3863
383,"$25,000 under $50,000",12093
383,"$50,000 under $75,000",16902
383,"$75,000 under $100,000",13689
383,"$100,000 under $200,000",34783
383,"$200,000 or more",45304
,,
385,Real County,"111,249"
385,Under $1,-2532
385,"$1 under $10,000",1015
385,"$10,000 under $25,000",6415
385,"$25,000 under $50,000",14310
385,"$50,000 under $75,000",12835
