# Title: January - December 2023 Texas County Precipitation
# Units: Inches
# Note: Period of Record: 131 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,Pctavg,Percent of Average
TX-001,Anderson County,Texas,37.96,-3.6,46,41.56,91.3
TX-003,Andrews County,Texas,8.46,-6.2,14,14.66,57.7
TX-005,Angelina County,Texas,40.16,-8.44,29,48.6,82.6
TX-007,Aransas County,Texas,22.05,-11.7,12,33.75,65.3
TX-009,Archer County,Texas,25.26,-2.42,48,27.68,91.3
TX-011,Armstrong County,Texas,20.59,-0.29,67,20.88,98.6
TX-013,Atascosa County,Texas,24.63,-2.03,56,26.66,92.4
TX-015,Austin County,Texas,36.51,-4.54,45,41.05,88.9
TX-017,Bailey County,Texas,14.84,-2.59,37,17.43,85.1
TX-019,Bandera County,Texas,20.37,-9.51,13,29.88,68.2
TX-021,Bastrop County,Texas,29.6,-5.47,36,35.07,84.4
TX-023,Baylor County,Texas,24.49,-1.06,54,25.55,95.9
TX-025,Bee County,Texas,21.09,-9.09,16,30.18,69.9
TX-027,Bell County,Texas,25.18,-7.83,19,33.01,76.3
TX-029,Bexar County,Texas,22.2,-7.5,31,29.7,74.7
TX-031,Blanco County,Texas,21.51,-9.55,15,31.06,69.3
TX-033,Borden County,Texas,16.66,-2.18,45,18.84,88.4
TX-035,Bosque County,Texas,31.01,-1.21,56,32.22,96.2
TX-037,Bowie County,Texas,57.22,9.52,109,47.7,120
TX-039,Brazoria County,Texas,37.57,-7.8,34,45.37,82.8
TX-041,Brazos County,Texas,32.31,-7.22,27,39.53,81.7
TX-043,Brewster County,Texas,10.09,-2.99,29,13.08,77.1
TX-045,Briscoe County,Texas,21.29,0.4,77,20.89,101.9
TX-047,Brooks County,Texas,19.62,-4.12,37,23.74,82.7
TX-049,Brown County,Texas,25.98,-0.8,62,26.78,97
TX-051,Burleson County,Texas,32.78,-4.81,42,37.59,87.2
TX-053,Burnet County,Texas,25.28,-4.96,32,30.24,83.6
TX-055,Caldwell County,Texas,25.95,-7.49,28,33.44,77.6
TX-057,Calhoun County,Texas,28.83,-9.05,23,37.88,76.1
TX-059,Callahan County,Texas,26.58,0.77,77,25.81,103
TX-061,Cameron County,Texas,24.4,-0.42,62,24.82,98.3
TX-063,Camp County,Texas,45.68,1.16,79,44.52,102.6
TX-065,Carson County,Texas,23.47,2.8,100,20.67,113.5
TX-067,Cass County,Texas,51.89,4.53,94,47.36,109.6
TX-069,Castro County,Texas,18.75,0.13,74,18.62,100.7
TX-071,Chambers County,Texas,39.21,-10.4,23,49.61,79
TX-073,Cherokee County,Texas,40.72,-3.76,43,44.48,91.5
TX-075,Childress County,Texas,24.13,1.56,86,22.57,106.9
TX-077,Clay County,Texas,27.45,-2.59,49,30.04,91.4
TX-079,Cochran County,Texas,14.67,-2.81,37,17.48,83.9
TX-081,Coke County,Texas,19.37,-2.58,49,21.95,88.3
TX-083,Coleman County,Texas,22.93,-2.97,49,25.9,88.5
TX-085,Collin County,Texas,34.03,-4,46,38.03,89.5
TX-087,Collingsworth County,Texas,23.73,0.49,75,23.24,102.1
TX-089,Colorado County,Texas,37.79,-2.68,57,40.47,93.4
TX-091,Comal County,Texas,22.51,-10.03,18,32.54,69.2
TX-093,Comanche County,Texas,26.92,-1.34,55,28.26,95.3
TX-095,Concho County,Texas,20.19,-3.83,40,24.02,84.1
TX-097,Cooke County,Texas,35.98,0.39,67,35.59,101.1
TX-099,Coryell County,Texas,25.2,-6.38,21,31.58,79.8
TX-101,Cottle County,Texas,25.72,3.32,101,22.4,114.8
TX-103,Crane County,Texas,6.42,-6.7,6,13.12,48.9
TX-105,Crockett County,Texas,11.59,-6.49,14,18.08,64.1
