# Title: January - December 2024 Texas County Precipitation
# Units: Inches
# Note: Period of Record: 131 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,Pctavg,Percent of Average
TX-165,Gaines County,Texas,10.4,-5.55,19,15.95,65.2
TX-167,Galveston County,Texas,64.04,16.87,117,47.17,135.8
TX-169,Garza County,Texas,19.61,0.1,71,19.51,100.5
TX-171,Gillespie County,Texas,25.99,-3.06,49,29.05,89.5
TX-173,Glasscock County,Texas,14.27,-3.45,38,17.72,80.5
TX-175,Goliad County,Texas,28.32,-4.88,44,33.2,85.3
TX-177,Gonzales County,Texas,30.02,-3.78,57,33.8,88.8
TX-179,Gray County,Texas,24.87,2.7,97,22.17,112.2
TX-181,Grayson County,Texas,42.42,4.17,89,38.25,110.9
TX-183,Gregg County,Texas,65.95,20.86,127,45.09,146.3
TX-185,Grimes County,Texas,58.39,16.52,124,41.87,139.5
TX-187,Guadalupe County,Texas,27.47,-4.38,48,31.85,86.2
TX-189,Hale County,Texas,19.42,0.03,76,19.39,100.1
TX-191,Hall County,Texas,21.26,0.07,70,21.19,100.3
TX-193,Hamilton County,Texas,32.91,3.01,86,29.9,110.1
TX-195,Hansford County,Texas,21.69,2.63,101,19.06,113.8
TX-197,Hardeman County,Texas,23.19,-1.27,64,24.46,94.8
TX-199,Hardin County,Texas,77.68,25.31,125,52.37,148.3
TX-201,Harris County,Texas,59.28,12.81,111,46.47,127.6
TX-203,Harrison County,Texas,72.5,25.35,130,47.15,153.7
TX-205,Hartley County,Texas,15.69,-1.65,54,17.34,90.5
TX-207,Haskell County,Texas,28.85,4.77,100,24.08,119.8
TX-209,Hays County,Texas,30.36,-2.65,57,33.01,92
TX-211,Hemphill County,Texas,22.59,0.08,72,22.51,100.3
TX-213,Henderson County,Texas,53.73,12.75,121,40.98,131.1
TX-215,Hidalgo County,Texas,24.41,1.64,83,22.77,107.2
TX-217,Hill County,Texas,46.48,11.65,121,34.83,133.4
TX-219,Hockley County,Texas,16.71,-1.49,55,18.2,91.8
TX-221,Hood County,Texas,38.7,7.59,113,31.11,124.4
TX-223,Hopkins County,Texas,54.54,11.78,117,42.76,127.6
TX-225,Houston County,Texas,70.03,25.85,131,44.18,158.5
