# Title: January - December 2025 Texas County Precipitation
# Units: Inches
# Note: Period of Record: 131 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,Pctavg,Percent of Average
TX-001,Anderson County,Texas,45.23,3.67,84,41.56,108.8
TX-003,Andrews County,Texas,8.93,-5.73,18,14.66,60.9
TX-005,Angelina County,Texas,48.16,-0.44,67,48.6,99.1
TX-007,Aransas County,Texas,28.36,-5.39,36,33.75,84
TX-009,Archer County,Texas,31.63,3.95,95,27.68,114.3
TX-011,Armstrong County,Texas,22.61,1.73,85,20.88,108.3
TX-013,Atascosa County,Texas,16.6,-10.06,10,26.66,62.3
TX-015,Austin County,Texas,31.73,-9.32,18,41.05,77.3
TX-017,Bailey County,Texas,17.23,-0.2,67,17.43,98.8
TX-019,Bandera County,Texas,28.61,-1.27,65,29.88,95.8
TX-021,Bastrop County,Texas,31.48,-3.59,48,35.07,89.8
TX-023,Baylor County,Texas,28.98,3.43,96,25.55,113.4
TX-025,Bee County,Texas,25.89,-4.29,45,30.18,85.8
TX-027,Bell County,Texas,34.29,1.28,75,33.01,103.9
TX-029,Bexar County,Texas,20.96,-8.74,21,29.7,70.6
TX-031,Blanco County,Texas,29.89,-1.17,62,31.06,96.2
TX-033,Borden County,Texas,15.29,-3.55,37,18.84,81.1
TX-035,Bosque County,Texas,37.85,5.63,101,32.22,117.5
TX-037,Bowie County,Texas,52.91,5.21,89,47.7,110.9
TX-039,Brazoria County,Texas,35.86,-9.51,21,45.37,79
TX-041,Brazos County,Texas,34.82,-4.71,42,39.53,88.1
TX-043,Brewster County,Texas,10.46,-2.62,33,13.08,80
TX-045,Briscoe County,Texas,21.04,0.15,73,20.89,100.7
TX-047,Brooks County,Texas,22.3,-1.44,61,23.74,93.9
TX-049,Brown County,Texas,25.99,-0.79,63,26.78,97.1
TX-051,Burleson County,Texas,34.09,-3.5,46,37.59,90.7
TX-053,Burnet County,Texas,33.03,2.79,91,30.24,109.2
TX-055,Caldwell County,Texas,25.48,-7.96,24,33.44,76.2
TX-057,Calhoun County,Texas,35.18,-2.7,55,37.88,92.9
TX-059,Callahan County,Texas,24.07,-1.74,49,25.81,93.2
TX-061,Cameron County,Texas,29.74,4.92,104,24.82,119.8
TX-063,Camp County,Texas,45.32,0.8,75,44.52,101.8
TX-065,Carson County,Texas,23.57,2.9,103,20.67,114
TX-067,Cass County,Texas,51.97,4.61,95,47.36,109.7
TX-069,Castro County,Texas,20.45,1.83,92,18.62,109.8
TX-071,Chambers County,Texas,42.72,-6.89,37,49.61,86.1
TX-073,Cherokee County,Texas,46.33,1.85,78,44.48,104.2
TX-075,Childress County,Texas,21.07,-1.5,55,22.57,93.4
TX-077,Clay County,Texas,35.8,5.76,102,30.04,119.2
TX-079,Cochran County,Texas,15.47,-2.01,48,17.48,88.5
TX-081,Coke County,Texas,20.47,-1.48,58,21.95,93.3
TX-083,Coleman County,Texas,22.26,-3.64,44,25.9,85.9
TX-085,Collin County,Texas,39.48,1.45,70,38.03,103.8
TX-087,Collingsworth County,Texas,21.61,-1.63,53,23.24,93
TX-089,Colorado County,Texas,29.89,-10.58,16,40.47,73.9
TX-091,Comal County,Texas,26.85,-5.69,38,32.54,82.5
TX-093,Comanche County,Texas,30.86,2.6,89,28.26,109.2
TX-095,Concho County,Texas,25.12,1.1,85,24.02,104.6
TX-097,Cooke County,Texas,41.93,6.34,99,35.59,117.8
TX-099,Coryell County,Texas,34.14,2.56,84,31.58,108.1
TX-101,Cottle County,Texas,22.15,-0.25,67,22.4,98.9
TX-103,Crane County,Texas,9.4,-3.72,29,13.12,71.6
TX-105,Crockett County,Texas,16.21,-1.87,50,18.08,89.7
TX-107,Crosby County,Texas,17.98,-2.33,53,20.31,88.5
TX-109,Culberson County,Texas,11.34,-0.56,62,11.9,95.3
TX-111,Dallam County,Texas,15.72,-0.89,64,16.61,94.6
TX-113,Dallas County,Texas,40.41,3.96,89,36.45,110.9
TX-115,Dawson County,Texas,13.94,-3.46,38,17.4,80.1
TX-117,Deaf Smith County,Texas,22.03,3.72,106,18.31,120.3
TX-119,Delta County,Texas,47.87,4.77,94,43.1,111.1
TX-121,Denton County,Texas,37.95,3.01,81,34.94,108.6
TX-123,DeWitt County,Texas,27.56,-7.04,36,34.6,79.7
TX-125,Dickens County,Texas,21.76,0.19,73,21.57,100.9
TX-127,Dimmit County,Texas,14.24,-6.87,20,21.11,67.5
TX-129,Donley County,Texas,22.09,0.14,70,21.95,100.6
TX-131,Duval County,Texas,16.62,-7.11,16,23.73,70
TX-133,Eastland County,Texas,27.34,-0.24,65,27.58,99.1
TX-135,Ector County,Texas,7.68,-6.12,14,13.8,55.7
TX-137,Edwards County,Texas,22.27,-1.27,62,23.54,94.6
TX-139,Ellis County,Texas,41.2,4.73,92,36.47,113
TX-141,El Paso County,Texas,7.36,-1.43,43,8.79,83.7
TX-143,Erath County,Texas,27.7,-2.01,51,29.71,93.2
TX-145,Falls County,Texas,35.91,0.89,72,35.02,102.6
TX-147,Fannin County,Texas,41.02,-0.12,62,41.14,99.7
TX-149,Fayette County,Texas,30.12,-7.33,28,37.45,80.4
TX-151,Fisher County,Texas,18.03,-3.92,35,21.95,82.1
TX-153,Floyd County,Texas,17.79,-2.88,39,20.67,86.1
TX-155,Foard County,Texas,25.88,1.63,89,24.25,106.7
TX-157,Fort Bend County,Texas,34.23,-9.92,22,44.15,77.5
TX-159,Franklin County,Texas,45.05,1.04,75,44.01,102.4
TX-161,Freestone County,Texas,44.33,5.3,98,39.03,113.6
TX-163,Frio County,Texas,15.84,-8.34,15,24.18,65.5
TX-165,Gaines County,Texas,13.24,-2.71,40,15.95,83
TX-167,Galveston County,Texas,36.19,-10.98,16,47.17,76.7
TX-169,Garza County,Texas,16.98,-2.53,42,19.51,87
TX-171,Gillespie County,Texas,32.29,3.24,91,29.05,111.2
TX-173,Glasscock County,Texas,15.14,-2.58,45,17.72,85.4
TX-175,Goliad County,Texas,30.83,-2.37,56,33.2,92.9
TX-177,Gonzales County,Texas,24.5,-9.3,21,33.8,72.5
TX-179,Gray County,Texas,22.52,0.35,72,22.17,101.6
TX-181,Grayson County,Texas,40.46,2.21,76,38.25,105.8
TX-183,Gregg County,Texas,47.16,2.07,83,45.09,104.6
TX-185,Grimes County,Texas,38.52,-3.35,50,41.87,92
TX-187,Guadalupe County,Texas,26.31,-5.54,41,31.85,82.6
TX-189,Hale County,Texas,19.39,-0,75,19.39,100
TX-191,Hall County,Texas,21.15,-0.04,68,21.19,99.8
TX-193,Hamilton County,Texas,31.91,2.01,84,29.9,106.7
TX-195,Hansford County,Texas,20.77,1.71,92,19.06,109
TX-197,Hardeman County,Texas,24.43,-0.03,74,24.46,99.9
TX-199,Hardin County,Texas,52.95,0.58,64,52.37,101.1
TX-201,Harris County,Texas,39.76,-6.71,38,46.47,85.6
TX-203,Harrison County,Texas,49.8,2.65,86,47.15,105.6
TX-205,Hartley County,Texas,16.39,-0.95,64,17.34,94.5
TX-207,Haskell County,Texas,24.27,0.19,70,24.08,100.8
TX-209,Hays County,Texas,26.45,-6.56,33,33.01,80.1
TX-211,Hemphill County,Texas,26.18,3.67,104,22.51,116.3
TX-213,Henderson County,Texas,45.06,4.08,95,40.98,109.9
TX-215,Hidalgo County,Texas,22.78,0.01,70,22.77,100
TX-217,Hill County,Texas,41.59,6.76,105,34.83,119.4
TX-219,Hockley County,Texas,16.76,-1.44,57,18.2,92.1
TX-221,Hood County,Texas,36.18,5.07,96,31.11,116.3
TX-223,Hopkins County,Texas,45.33,2.57,82,42.76,106
TX-225,Houston County,Texas,45.88,1.7,74,44.18,103.8
TX-227,Howard County,Texas,14.6,-3.93,33,18.53,78.8
TX-229,Hudspeth County,Texas,8.73,-1.57,45,10.3,84.8
TX-231,Hunt County,Texas,44.4,3.86,91,40.55,109.5
TX-233,Hutchinson County,Texas,22.66,3.24,106,19.42,116.7
TX-235,Irion County,Texas,22.31,2.34,87,19.97,111.7
TX-237,Jack County,Texas,35.11,5.09,92,30.02,116.9
TX-239,Jackson County,Texas,34.91,-4.89,44,39.8,87.7
TX-241,Jasper County,Texas,51.91,-2.19,61,54.1,95.9
TX-243,Jeff Davis County,Texas,17.19,2.43,100,14.76,116.5
TX-245,Jefferson County,Texas,47.83,-4.47,42,52.3,91.5
TX-247,Jim Hogg County,Texas,16.87,-4.97,26,21.84,77.3
TX-249,Jim Wells County,Texas,19.38,-6.95,22,26.33,73.6
TX-251,Johnson County,Texas,37.34,3.82,91,33.52,111.4
TX-253,Jones County,Texas,22.02,-1.49,57,23.51,93.7
TX-255,Karnes County,Texas,23.17,-7.02,30,30.19,76.7
TX-257,Kaufman County,Texas,40.35,0.98,70,39.37,102.5
TX-259,Kendall County,Texas,28.33,-2.91,55,31.24,90.7
TX-261,Kenedy County,Texas,28.9,3.34,95,25.56,113
TX-263,Kent County,Texas,18.94,-1.83,52,20.77,91.2
TX-265,Kerr County,Texas,30.1,1.49,80,28.61,105.2
TX-267,Kimble County,Texas,26.16,0.44,76,25.72,101.7
TX-269,King County,Texas,23.13,0.51,76,22.62,102.2
TX-271,Kinney County,Texas,11.16,-10.35,4,21.51,51.9
TX-273,Kleberg County,Texas,18.74,-8.08,20,26.82,69.9
TX-275,Knox County,Texas,25.65,1.6,84,24.05,106.6
TX-277,Lamar County,Texas,49.42,5.13,94,44.29,111.6
TX-279,Lamb County,Texas,18.55,0.13,73,18.42,100.7
TX-281,Lampasas County,Texas,35.48,5.99,105,29.49,120.3
TX-283,La Salle County,Texas,13.94,-8.21,8,22.15,62.9
TX-285,Lavaca County,Texas,28.04,-9.64,21,37.68,74.4
TX-287,Lee County,Texas,35.8,-0.43,66,36.23,98.8
TX-289,Leon County,Texas,37.77,-2.91,51,40.68,92.8
TX-291,Liberty County,Texas,46.72,-2.87,52,49.59,94.2
TX-293,Limestone County,Texas,40.13,2.79,83,37.34,107.5
TX-295,Lipscomb County,Texas,26.43,4.55,109,21.88,120.8
TX-297,Live Oak County,Texas,19.73,-7.17,22,26.9,73.3
TX-299,Llano County,Texas,31.63,3.25,95,28.38,111.5
TX-301,Loving County,Texas,10.36,-1.15,56,11.51,90
TX-303,Lubbock County,Texas,17.84,-1.07,61,18.91,94.3
TX-305,Lynn County,Texas,15.5,-3.04,37,18.54,83.6
TX-307,McCulloch County,Texas,28.37,2.74,90,25.64,110.7
TX-309,McLennan County,Texas,39.92,6.22,95,33.7,118.5
TX-311,McMullen County,Texas,16.21,-7.67,14,23.88,67.9
TX-313,Madison County,Texas,41.32,-0.05,64,41.37,99.9
TX-315,Marion County,Texas,49.22,2.18,79,47.04,104.6
TX-317,Martin County,Texas,11.48,-5.14,24,16.62,69.1
TX-319,Mason County,Texas,31.29,4.59,102,26.7,117.2
