# Title: January - December 2021 Texas County Precipitation
# Units: Inches
# Note: Period of Record: 131 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,Pctavg,Percent of Average
TX-001,Anderson County,Texas,46.46,4.9,95,41.56,111.8
TX-003,Andrews County,Texas,13.14,-1.52,53,14.66,89.6
TX-005,Angelina County,Texas,54.38,5.78,96,48.6,111.9
TX-007,Aransas County,Texas,54.46,20.71,130,33.75,161.4
TX-009,Archer County,Texas,25.93,-1.75,54,27.68,93.7
TX-011,Armstrong County,Texas,19.37,-1.51,56,20.88,92.8
TX-013,Atascosa County,Texas,28.71,2.05,87,26.66,107.7
TX-015,Austin County,Texas,48.32,7.27,98,41.05,117.7
TX-017,Bailey County,Texas,17.48,0.05,71,17.43,100.3
TX-019,Bandera County,Texas,29.33,-0.55,70,29.88,98.2
TX-021,Bastrop County,Texas,42.56,7.49,103,35.07,121.4
TX-023,Baylor County,Texas,24.8,-0.75,59,25.55,97.1
TX-025,Bee County,Texas,41.97,11.79,119,30.18,139.1
TX-027,Bell County,Texas,28.25,-4.76,36,33.01,85.6
TX-029,Bexar County,Texas,34.98,5.28,97,29.7,117.8
TX-031,Blanco County,Texas,32.76,1.7,78,31.06,105.5
TX-033,Borden County,Texas,21.33,2.49,94,18.84,113.2
TX-035,Bosque County,Texas,32.32,0.1,69,32.22,100.3
TX-037,Bowie County,Texas,51.83,4.13,86,47.7,108.7
TX-039,Brazoria County,Texas,54.96,9.59,104,45.37,121.1
TX-041,Brazos County,Texas,41.83,2.3,79,39.53,105.8
TX-043,Brewster County,Texas,10.3,-2.78,32,13.08,78.7
TX-045,Briscoe County,Texas,19.69,-1.2,54,20.89,94.3
TX-047,Brooks County,Texas,27.66,3.92,103,23.74,116.5
TX-049,Brown County,Texas,25.28,-1.5,54,26.78,94.4
TX-051,Burleson County,Texas,44.52,6.93,95,37.59,118.4
TX-053,Burnet County,Texas,32.36,2.12,88,30.24,107
TX-055,Caldwell County,Texas,40.76,7.32,102,33.44,121.9
TX-057,Calhoun County,Texas,56.29,18.41,125,37.88,148.6
TX-059,Callahan County,Texas,29.75,3.94,95,25.81,115.3
TX-061,Cameron County,Texas,38.32,13.5,128,24.82,154.4
TX-063,Camp County,Texas,44.56,0.04,68,44.52,100.1
TX-065,Carson County,Texas,18.47,-2.2,50,20.67,89.3
TX-067,Cass County,Texas,54.57,7.21,101,47.36,115.2
TX-069,Castro County,Texas,17.25,-1.37,56,18.62,92.6
