,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp
243,Wilbarger County,65.3,65.3,1.0511898020814352,63.9,66.7
244,Willacy County,75.82000000000001,76.4,1.2637246535539277,74.1,77.1
245,Williamson County,69.14,69.4,1.2033287165193034,67.6,70.3
246,Wilson County,71.74000000000001,72.4,1.1970797801316344,70.2,72.7
247,Winkler County,66.76,67.5,1.3520355024924529,65.1,68.0
248,Wise County,66.2,66.1,1.124722187920195,64.7,67.4
249,Wood County,65.86,66.0,1.0807404868884947,64.4,67.1
250,Yoakum County,61.760000000000005,62.1,1.0478549517943818,60.5,62.7
251,Young County,65.92,66.1,1.2969194269498763,64.1,67.3
252,Zapata County,76.02000000000001,76.2,1.1278297743897396,74.6,77.4
253,Zavala County,72.94,73.4,1.1304866208850117,71.6,74.2
