,Name,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
103,Haskell County,66.14,66.1,1.260158720161866,64.3,67.5,23.984,24.27,3.757283593235944,18.31,28.85
104,Hays County,69.7,70.4,1.2144957801491068,68.1,70.8,27.382,26.45,8.085516062688889,17.02,38.95
105,Hemphill County,60.36,60.2,1.3107249902248772,59.3,62.5,23.238,22.59,4.6556814753588975,17.11,29.2
106,Henderson County,66.67999999999999,67.0,1.080277742064512,65.3,67.7,43.558,44.81,7.194127466204639,34.25,53.73
107,Hidalgo County,76.32,77.1,1.3292855223765825,74.6,77.6,24.624,22.78,6.626343637331224,19.94,35.98
108,Hill County,67.8,67.7,0.9695359714832636,66.5,68.8,35.980000000000004,34.13,8.428273844625599,24.53,46.48
109,Hockley County,61.17999999999999,61.4,0.9523654760647294,60.2,62.5,16.312,16.76,1.515130357428033,13.65,17.43
110,Hood County,67.62,67.6,1.1388590782006347,65.9,68.7,33.204,35.96,6.544026283565801,22.04,38.7
111,Hopkins County,65.6,65.5,0.9746794344809018,64.3,66.7,45.776,45.33,5.66731682544747,39.39,54.54
112,Houston County,67.92,68.2,0.7726577508832809,67.0,68.7,49.396,45.88,12.1883747891177,40.47,70.03
113,Howard County,65.96000000000001,66.5,1.2778888840583895,64.0,67.2,14.488,14.6,3.852118897438136,9.09,19.31
114,Hudspeth County,63.82000000000001,64.3,1.025670512396648,62.3,64.9,8.994,8.73,3.455058610211989,5.23,13.0
115,Hunt County,66.16,66.0,0.9071934744033422,65.1,67.4,43.832,43.57,5.867168823205958,37.17,53.04
116,Hutchinson County,60.82000000000001,60.4,1.1300442469213314,59.7,62.5,19.316,19.2,4.349060818153733,13.85,24.44
117,Irion County,66.7,66.9,1.146734494117974,65.0,67.9,17.878,17.12,4.0114423839811035,12.29,22.31
118,Jack County,65.53999999999999,65.6,1.2759310326189306,63.8,66.8,31.81,33.71,4.568714261146126,25.62,36.19
119,Jackson County,72.38000000000001,72.9,0.9959919678390988,71.2,73.2,38.94199999999999,34.91,10.2763986882565,28.94,55.23
120,Jasper County,68.46,68.5,0.9181503144910382,67.5,69.6,55.25599999999999,51.91,15.0745722990737,37.05,77.5
121,Jeff Davis County,63.46,63.9,1.2461942063739495,61.7,64.8,12.778,14.78,4.69718745634023,7.12,17.19
122,Jefferson County,70.56,70.7,1.1349008767288846,69.3,71.8,53.848,52.56,10.466041276433032,40.91,67.71
123,Jim Hogg County,75.24,75.7,1.1282730166054686,73.8,76.4,20.512,19.6,3.114108219057264,16.87,25.35
124,Jim Wells County,74.32000000000001,74.9,1.0545141061171237,72.9,75.3,22.874,20.94,4.870685783336881,19.38,31.05
125,Johnson County,67.38000000000001,67.2,1.0545141061171237,65.9,68.4,34.076,34.11,5.003941446499949,26.72,39.79
126,Jones County,66.12,66.3,1.1777096416349893,64.3,67.4,23.49,23.71,4.6226237138664015,16.64,28.87
127,Karnes County,72.1,72.8,1.1979148550710903,70.7,73.2,28.218,28.25,7.054181029715638,20.42,38.54
128,Kaufman County,66.88,66.8,0.8318653737234196,65.8,67.8,40.866,40.35,7.384201378619085,32.82,52.3
129,Kendall County,68.64,69.1,1.059716943339114,67.1,69.6,24.262,26.45,7.044027257187467,14.81,32.29
130,Kenedy County,75.36,75.9,1.169615321377076,73.7,76.5,25.742,28.0,5.493006462766997,19.06,31.86
131,Kent County,65.66,65.8,1.0089598604503525,64.2,66.8,20.24,21.83,4.57287108937044,12.94,24.63
132,Kerr County,67.1,67.3,1.0222524150130443,65.6,68.1,23.29,23.07,6.639627248573522,14.27,30.1
133,Kimble County,67.17999999999999,67.2,1.098635517357779,65.6,68.3,22.594,24.29,4.371747934179188,15.1,26.16
134,King County,65.53999999999999,65.3,0.9502631214563656,64.2,66.6,22.712,23.13,4.972984013648144,15.4,27.48
135,Kinney County,72.16,72.6,1.361249426078851,70.7,73.8,15.742,16.44,3.1224541629942304,11.16,19.37
136,Kleberg County,74.97999999999999,75.3,1.0779610382569464,73.4,76.0,21.616,20.22,3.750777252783749,18.32,27.21
137,Knox County,65.92,65.8,1.1166915420114945,64.3,67.2,24.479999999999997,25.24,4.137094390994724,18.65,29.96
138,La Salle County,73.64,74.1,1.4842506526863912,72.1,75.6,18.9,19.05,3.4095600889264297,13.94,23.53
139,Lamar County,64.97999999999999,64.8,0.7694153624668526,64.0,65.9,47.248000000000005,49.07,3.4387963010332565,42.05,50.25
140,Lamb County,60.0,60.2,0.9924716620639624,58.9,61.4,17.266,18.14,1.7583315955757608,14.25,18.55
141,Lampasas County,67.94,68.0,1.1696153213770788,66.2,69.0,28.156,29.63,5.873459798108777,20.04,35.48
142,Lavaca County,72.5,73.0,1.1683321445547907,71.2,73.7,34.388,34.21,8.725601411937173,25.11,47.45
143,Lee County,70.26,70.7,1.25019998400257,68.6,71.4,37.221999999999994,35.8,7.539115995924189,27.83,46.48
144,Leon County,67.86,68.4,1.0382677881933944,66.5,68.8,43.748000000000005,37.77,10.91669226460103,36.19,61.72
145,Liberty County,70.48,71.0,0.9959919678390948,69.4,71.4,51.46,46.72,11.140931289618475,40.51,69.22
146,Limestone County,67.82000000000001,68.0,1.0545141061171277,66.5,69.0,37.266000000000005,39.24,6.177392653862956,29.24,44.82
147,Lipscomb County,59.2,59.0,1.1510864433221344,58.2,61.1,23.166,21.86,6.322545373502669,15.5,32.04
148,Live Oak County,73.06,73.7,1.2095453691366838,71.7,74.2,23.984,23.26,5.4744342173415514,19.4,32.92
149,Llano County,68.8,68.9,1.1853269591129696,67.0,69.9,26.728,28.61,4.952001615508622,18.91,31.63
150,Loving County,66.88,67.6,1.1987493482792786,65.3,68.0,8.42,9.83,2.4667488725040494,5.32,10.41
151,Lubbock County,62.08,62.0,1.008464178838297,61.1,63.7,17.952,18.97,2.185765312196165,14.22,19.63
152,Lynn County,63.120000000000005,63.5,1.171324037147704,61.5,64.6,16.724,17.12,2.765904915213102,12.82,20.21
153,Madison County,68.72,69.1,1.0134100848126544,67.4,69.6,44.67,41.32,11.091600425547252,35.89,63.22
154,Marion County,66.08,66.6,0.8526429498916845,65.1,66.8,52.446000000000005,49.22,9.047155906692446,43.85,67.19
155,Martin County,65.38000000000001,65.9,1.2716131487209386,63.7,66.7,12.176,11.48,2.8911468312764748,8.73,16.14
156,Mason County,67.94,68.1,1.2700393694685188,66.0,69.1,24.652,25.01,4.92291783396798,17.4,31.29
157,Matagorda County,72.03999999999999,72.5,0.9126883367283732,71.0,72.8,42.408,37.62,11.600865053951797,32.03,57.04
158,Maverick County,73.55999999999999,74.1,1.287633488225593,72.1,75.0,15.306,13.47,3.2971093400128546,12.74,20.35
