Name,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
Jasper County,55.25599999999999,51.91,15.0745722990737,37.05,77.5
Jeff Davis County,12.778,14.78,4.69718745634023,7.12,17.19
Jefferson County,53.848,52.56,10.466041276433032,40.91,67.71
Jim Hogg County,20.512,19.6,3.1141082190572638,16.87,25.35
Jim Wells County,22.874000000000002,20.94,4.870685783336881,19.38,31.05
Johnson County,34.076,34.11,5.003941446499949,26.72,39.79
Jones County,23.490000000000002,23.71,4.6226237138664015,16.64,28.87
Karnes County,28.218,28.25,7.054181029715638,20.42,38.54
Kaufman County,40.866,40.35,7.384201378619085,32.82,52.3
Kendall County,24.262,26.45,7.044027257187467,14.81,32.29
Kenedy County,25.742,28.0,5.493006462766997,19.06,31.86
Kent County,20.24,21.83,4.57287108937044,12.94,24.63
Kerr County,23.29,23.07,6.639627248573522,14.27,30.1
Kimble County,22.594,24.29,4.371747934179188,15.1,26.16
King County,22.712,23.13,4.972984013648144,15.4,27.48
Kinney County,15.742,16.44,3.1224541629942304,11.16,19.37
Kleberg County,21.616,20.22,3.750777252783749,18.32,27.21
Knox County,24.479999999999997,25.24,4.137094390994724,18.65,29.96
La Salle County,18.9,19.05,3.4095600889264297,13.94,23.53
Lamar County,47.248000000000005,49.07,3.4387963010332565,42.05,50.25
Lamb County,17.266,18.14,1.7583315955757608,14.25,18.55
Lampasas County,28.156,29.63,5.873459798108777,20.04,35.48
Lavaca County,34.388,34.21,8.725601411937173,25.11,47.45
Lee County,37.221999999999994,35.8,7.539115995924189,27.83,46.48
Leon County,43.748000000000005,37.77,10.91669226460103,36.19,61.72
Liberty County,51.46,46.72,11.140931289618477,40.51,69.22
Limestone County,37.266000000000005,39.24,6.177392653862956,29.24,44.82
Lipscomb County,23.166,21.86,6.322545373502669,15.5,32.04
Live Oak County,23.984,23.26,5.4744342173415514,19.4,32.92
Llano County,26.727999999999998,28.61,4.952001615508622,18.91,31.63
Loving County,8.42,9.83,2.4667488725040494,5.32,10.41
Lubbock County,17.952,18.97,2.185765312196165,14.22,19.63
Lynn County,16.724,17.12,2.765904915213102,12.82,20.21
Madison County,44.67,41.32,11.091600425547252,35.89,63.22
Marion County,52.446000000000005,49.22,9.047155906692446,43.85,67.19
Martin County,12.176,11.48,2.8911468312764748,8.73,16.14
Mason County,24.652,25.01,4.92291783396798,17.4,31.29
Matagorda County,42.408,37.62,11.600865053951795,32.03,57.04
Maverick County,15.306000000000001,13.47,3.2971093400128546,12.74,20.35
McCulloch County,24.574,24.01,3.3179255567296866,19.77,28.37
McLennan County,33.666000000000004,33.15,7.687433251742742,22.53,41.77
McMullen County,21.516,21.64,4.675182349384888,16.21,28.22
Medina County,20.012,20.29,5.329696989510754,13.04,26.93
Menard County,22.542,24.31,4.2633109199306585,15.66,26.28
Midland County,10.458,9.37,2.147433351701514,8.63,13.62
Milam County,34.022000000000006,35.16,5.369317461279413,27.07,39.15
Mills County,26.802,26.09,4.909360447145841,19.86,33.2
Mitchell County,16.772,15.75,3.690294026226096,11.94,21.68
Montague County,35.275999999999996,32.49,5.828214134707132,30.01,42.27
Montgomery County,48.786,43.31,10.786831323423948,40.33,65.54
Moore County,16.98,15.88,4.13607906113991,12.02,21.27
Morris County,48.977999999999994,48.33,5.525678238913301,41.85,57.37
Motley County,20.994,20.23,4.233022560771441,15.63,26.91
Nacogdoches County,50.778,48.08,14.797250420263895,37.17,75.42
Navarro County,39.446,37.56,6.838587573468661,31.7,48.44
Newton County,56.05800000000001,52.56,14.733656029648582,37.74,76.9
Nolan County,20.684,21.54,4.317502750433402,14.85,25.7
Nueces County,25.913999999999998,22.98,6.734064894252205,20.85,37.41
Ochiltree County,21.642000000000003,23.42,6.097857820579289,13.42,29.55
Oldham County,14.912,15.45,3.8325735478918075,10.39,20.44
Orange County,54.866,52.81,10.983727964584707,40.23,68.69
Palo Pinto County,30.26,31.75,6.858319765073659,20.0,37.4
Panola County,52.525999999999996,47.93,12.148095735546377,43.76,73.56
Parker County,31.28,33.24,5.125051219256253,23.06,35.53
Parmer County,16.742,17.31,3.4715515263351624,11.47,21.16
Pecos County,10.022,10.51,2.378165259186165,7.32,12.76
Polk County,54.266,49.25,13.801482891341784,43.63,77.59
Potter County,17.598,17.4,3.5911446643096947,13.22,22.9
